probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
0,Abdullah Gul,0,0,Abdullah Gul,0.6041426,0.6041426,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
1,Abdullah Gul,0,0,Abdullah Gul,0.5635228,0.5635228,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
2,Abdullah Gul,0,0,Abdullah Gul,0.5955519,0.5955519,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
3,Abdullah Gul,0,0,Abdullah Gul,0.57976675,0.57976675,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
4,Abdullah Gul,0,0,Abdullah Gul,0.5573091,0.5573091,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
5,Abdullah Gul,0,0,Abdullah Gul,0.38412768,0.38412768,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
6,Abdullah Gul,0,0,Abdullah Gul,0.45936626,0.45936626,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
7,Abdullah Gul,0,0,Abdullah Gul,0.51887536,0.51887536,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
8,Ciro Gomes,15,15,Ciro Gomes,0.55506253,0.55506253,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
9,Ciro Gomes,15,15,Ciro Gomes,0.5530284,0.5530284,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
10,Ciro Gomes,15,15,Ciro Gomes,0.67470163,0.67470163,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
11,Ciro Gomes,15,15,Ciro Gomes,0.5569161,0.5569161,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6074214,0.6074214,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49797225,0.49797225,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.61443377,0.61443377,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.59268004,0.59268004,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.71271014,0.71271014,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
17,Roger Moore,76,76,Roger Moore,0.58460635,0.58460635,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
18,Roger Moore,76,76,Roger Moore,0.5419535,0.5419535,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
19,Roger Moore,76,76,Roger Moore,0.48354876,0.48354876,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
20,Roger Moore,76,76,Roger Moore,0.57774734,0.57774734,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
21,Edmund Stoiber,21,21,Edmund Stoiber,0.37718123,0.37718123,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
22,Edmund Stoiber,21,21,Edmund Stoiber,0.40377185,0.40377185,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
23,Edmund Stoiber,21,21,Edmund Stoiber,0.48074892,0.48074892,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
24,Edmund Stoiber,21,21,Edmund Stoiber,0.39527476,0.39527476,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
