dataset,row,identity,lfw_index,landmark_source,landmark_prob,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
enroll,0,Abdullah Gul,4112,mtcnn,0.999998927116394,23.398563385009766,23.484912872314453,79.4830322265625,26.859867095947266,44.83932113647461,41.94913101196289,20.209381103515625,70.09102630615234,71.33456420898438,72.7924575805664
enroll,1,Ciro Gomes,1198,mtcnn,0.9999741315841675,26.448570251464844,38.536373138427734,78.11283874511719,34.82868576049805,51.32396697998047,62.22010803222656,29.984210968017578,78.87681579589844,81.40480041503906,75.88008880615234
enroll,2,Ricardo Sanchez,1249,mtcnn,0.999542236328125,25.22552490234375,41.13606262207031,75.25651550292969,39.02745056152344,48.8545036315918,68.40025329589844,29.650623321533203,90.24789428710938,73.79786682128906,88.92401123046875
enroll,3,Roger Moore,4573,mtcnn,0.9999946355819702,1.9641151428222656,11.305473327636719,64.7783203125,7.596981048583984,24.829395294189453,40.391319274902344,8.472755432128906,69.6618423461914,71.53956604003906,66.06804656982422
enroll,4,Edmund Stoiber,2936,mtcnn,0.9999969005584717,13.542793273925781,28.983287811279297,90.09318542480469,13.12469482421875,49.1666259765625,51.968650817871094,28.95697021484375,96.89093780517578,100.6567153930664,81.5475082397461
enroll,5,Carmen Electra,4126,mtcnn,0.9999953508377075,22.109455108642578,28.729782104492188,81.42356872558594,29.766735076904297,47.59297180175781,60.162723541259766,21.17258071899414,76.10337829589844,81.69900512695312,77.73114013671875
enroll,6,Tung Chee-hwa,3558,mtcnn,0.9999721050262451,10.110870361328125,26.400455474853516,71.55125427246094,19.607311248779297,39.6318359375,54.79903030395508,20.995433807373047,79.05819702148438,77.24730682373047,74.31861877441406
enroll,7,Woody Allen,2601,mtcnn,0.994674801826477,23.663917541503906,28.955589294433594,78.5663070678711,27.933753967285156,46.909698486328125,61.596397399902344,29.498119354248047,85.88008880615234,77.09166717529297,84.92952728271484
enroll,8,Kim Dae-jung,3601,mtcnn,0.9999531507492065,34.39728927612305,35.52022171020508,95.5026626586914,29.250965118408203,65.55973815917969,57.10833740234375,45.04917907714844,88.91398620605469,98.84821319580078,84.59902954101562
enroll,9,Lleyton Hewitt,214,mtcnn,0.9999580383300781,25.259597778320312,26.289710998535156,82.07308959960938,25.961971282958984,55.384708404541016,49.62281799316406,27.664039611816406,78.69608306884766,82.03254699707031,78.53810119628906
