probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
0,Abdullah Gul,0,0,Abdullah Gul,0.4806558,0.4806558,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
1,Abdullah Gul,0,0,Abdullah Gul,0.5841353,0.5841353,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
2,Abdullah Gul,0,0,Abdullah Gul,0.54329515,0.54329515,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
3,Abdullah Gul,0,0,Abdullah Gul,0.6016284,0.6016284,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
4,Abdullah Gul,0,0,Abdullah Gul,0.56761837,0.56761837,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
5,Abdullah Gul,0,0,Abdullah Gul,0.43697643,0.43697643,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
6,Abdullah Gul,0,0,Abdullah Gul,0.36412033,0.36412033,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
7,Abdullah Gul,0,0,Abdullah Gul,0.40663666,0.40663666,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
8,Ciro Gomes,15,15,Ciro Gomes,0.5399653,0.5399653,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
9,Ciro Gomes,15,15,Ciro Gomes,0.5807514,0.5807514,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
10,Ciro Gomes,15,15,Ciro Gomes,0.71820813,0.71820813,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
11,Ciro Gomes,15,15,Ciro Gomes,0.5347779,0.5347779,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface4m,adaface_ir101_wf4m
