probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5884622,0.5884622,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,0,0.01552039384841919
1,Abdullah Gul,0,0,Abdullah Gul,0.57085216,0.57085216,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,1,-0.007464587688446045
2,Abdullah Gul,0,0,Abdullah Gul,0.5776325,0.5776325,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,2,0.017887353897094727
3,Abdullah Gul,0,0,Abdullah Gul,0.531098,0.531098,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,3,0.048563599586486816
4,Abdullah Gul,0,0,Abdullah Gul,0.53618896,0.53618896,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,4,0.02097684144973755
5,Abdullah Gul,0,0,Abdullah Gul,0.37119794,0.37119794,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,5,0.012687146663665771
6,Abdullah Gul,0,0,Abdullah Gul,0.43947864,0.43947864,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,6,0.019783854484558105
7,Abdullah Gul,0,0,Abdullah Gul,0.4812584,0.4812584,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,7,0.03759676218032837
8,Ciro Gomes,15,15,Ciro Gomes,0.474202,0.474202,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,8,0.08086588978767395
9,Ciro Gomes,15,15,Ciro Gomes,0.4940528,0.4940528,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,9,0.058946579694747925
10,Ciro Gomes,15,15,Ciro Gomes,0.5969621,0.5969621,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,10,0.0777658224105835
11,Ciro Gomes,15,15,Ciro Gomes,0.4849162,0.4849162,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,11,0.07192909717559814
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6139859,0.6139859,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,12,-0.00650942325592041
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49422425,0.49422425,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,13,0.003792703151702881
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6063086,0.6063086,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,14,0.008121848106384277
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.55687463,0.55687463,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,15,0.035738587379455566
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6743225,0.6743225,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,16,0.038290977478027344
17,Roger Moore,76,76,Roger Moore,0.5713221,0.5713221,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,17,0.013252019882202148
18,Roger Moore,76,76,Roger Moore,0.5336469,0.5336469,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,18,0.008264601230621338
19,Roger Moore,76,76,Roger Moore,0.4465276,0.4465276,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,19,0.03696185350418091
20,Roger Moore,76,76,Roger Moore,0.5735051,0.5735051,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,20,0.004203081130981445
21,Edmund Stoiber,21,21,Edmund Stoiber,0.39444023,0.39444023,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,21,-0.017232954502105713
22,Edmund Stoiber,21,21,Edmund Stoiber,0.39809728,0.39809728,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,22,0.005739063024520874
23,Edmund Stoiber,21,21,Edmund Stoiber,0.4898402,0.4898402,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,23,-0.009085267782211304
24,Edmund Stoiber,21,21,Edmund Stoiber,0.41528654,0.41528654,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,24,-0.02001321315765381
25,Edmund Stoiber,21,21,Edmund Stoiber,0.49039817,0.49039817,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,25,-0.002770841121673584
26,Edmund Stoiber,21,21,Edmund Stoiber,0.38385424,0.38385424,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,26,-0.021822422742843628
27,Edmund Stoiber,21,21,Edmund Stoiber,0.19715232,0.19715232,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,27,-0.004983916878700256
28,Edmund Stoiber,21,21,Edmund Stoiber,0.31875643,0.31875643,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,28,-0.03243061900138855
29,Carmen Electra,12,12,Carmen Electra,0.36877415,0.36877415,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,29,0.009452193975448608
30,Carmen Electra,12,12,Carmen Electra,0.5634384,0.5634384,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,30,0.0804097056388855
31,Carmen Electra,12,12,Carmen Electra,0.44497013,0.44497013,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,31,0.08978468179702759
32,Carmen Electra,12,12,Carmen Electra,0.46695673,0.46695673,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,32,0.06821417808532715
33,Carmen Electra,12,12,Carmen Electra,0.6416881,0.6416881,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,33,0.05252242088317871
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.45837447,0.45837447,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,34,-0.041389673948287964
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.54320675,0.54320675,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,35,0.062457144260406494
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.50908566,0.50908566,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,36,0.010044276714324951
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.60430264,0.60430264,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,37,0.03156101703643799
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4880426,0.4880426,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,38,-0.00047197937965393066
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.4537913,0.4537913,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,39,0.015041083097457886
40,Tung Chee-hwa,92,92,Tung Chee-hwa,0.37522876,0.37522876,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,40,-0.04389822483062744
41,Tung Chee-hwa,92,92,Tung Chee-hwa,0.43200642,0.43200642,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,41,0.04478496313095093
42,Woody Allen,96,96,Woody Allen,0.56491387,0.56491387,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,42,0.0810699462890625
