probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5750813,0.5750813,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,0,0.028901278972625732
1,Abdullah Gul,0,0,Abdullah Gul,0.54347605,0.54347605,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,1,0.019911527633666992
2,Abdullah Gul,0,0,Abdullah Gul,0.57989687,0.57989687,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,2,0.015622973442077637
3,Abdullah Gul,0,0,Abdullah Gul,0.5332029,0.5332029,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,3,0.04645872116088867
4,Abdullah Gul,0,0,Abdullah Gul,0.5174466,0.5174466,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,4,0.039719223976135254
5,Abdullah Gul,0,0,Abdullah Gul,0.33196133,0.33196133,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,5,0.05192375183105469
6,Abdullah Gul,0,0,Abdullah Gul,0.45163053,0.45163053,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,6,0.007631957530975342
7,Abdullah Gul,0,0,Abdullah Gul,0.484576,0.484576,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,7,0.03427916765213013
8,Ciro Gomes,15,15,Ciro Gomes,0.5601537,0.5601537,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,8,-0.0050858259201049805
9,Ciro Gomes,15,15,Ciro Gomes,0.538929,0.538929,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,9,0.014070391654968262
10,Ciro Gomes,15,15,Ciro Gomes,0.67123604,0.67123604,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,10,0.0034918785095214844
11,Ciro Gomes,15,15,Ciro Gomes,0.55651915,0.55651915,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,11,0.0003261566162109375
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.60690016,0.60690016,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.35,39,12,0.000576317310333252
